loss,learning_rate,epoch,step,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_rougeLsum,eval_gen_len,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
3.0396,4.978494623655914e-05,0.22,100,,,,,,,,,,,,,,
2.4038,4.956989247311828e-05,0.43,200,,,,,,,,,,,,,,
2.2576,4.935483870967742e-05,0.65,300,,,,,,,,,,,,,,
2.1818,4.913978494623656e-05,0.86,400,,,,,,,,,,,,,,
,,1.0,465,2.0252013206481934,6.8409,0.2726,6.5081,6.5201,18.8935,45.261,22.403,1.414,,,,,
2.1527,4.89247311827957e-05,1.08,500,,,,,,,,,,,,,,
2.1255,4.870967741935484e-05,1.29,600,,,,,,,,,,,,,,
2.0894,4.849462365591398e-05,1.51,700,,,,,,,,,,,,,,
2.0633,4.827956989247312e-05,1.72,800,,,,,,,,,,,,,,
2.036,4.806451612903226e-05,1.94,900,,,,,,,,,,,,,,
,,2.0,930,1.9240248203277588,8.0141,0.4185,7.6212,7.6121,19.0,45.8172,22.131,1.397,,,,,
2.0334,4.78494623655914e-05,2.15,1000,,,,,,,,,,,,,,
2.0114,4.763440860215054e-05,2.37,1100,,,,,,,,,,,,,,
1.9964,4.741935483870968e-05,2.58,1200,,,,,,,,,,,,,,
1.981,4.720430107526882e-05,2.8,1300,,,,,,,,,,,,,,
,,3.0,1395,1.872108817100525,8.7088,0.5743,8.2088,8.201,19.0,44.6672,22.701,1.433,,,,,
1.9699,4.698924731182796e-05,3.01,1400,,,,,,,,,,,,,,
1.9536,4.67741935483871e-05,3.23,1500,,,,,,,,,,,,,,
1.9422,4.655913978494624e-05,3.44,1600,,,,,,,,,,,,,,
1.9661,4.634408602150538e-05,3.66,1700,,,,,,,,,,,,,,
1.9213,4.612903225806452e-05,3.87,1800,,,,,,,,,,,,,,
,,4.0,1860,1.8339629173278809,9.7982,0.8912,9.0268,9.0451,19.0,47.4384,21.375,1.349,,,,,
1.9201,4.591397849462366e-05,4.09,1900,,,,,,,,,,,,,,
1.9111,4.56989247311828e-05,4.3,2000,,,,,,,,,,,,,,
1.9008,4.548387096774194e-05,4.52,2100,,,,,,,,,,,,,,
1.888,4.5268817204301076e-05,4.73,2200,,,,,,,,,,,,,,
1.8817,4.5053763440860216e-05,4.95,2300,,,,,,,,,,,,,,
,,5.0,2325,1.8045833110809326,9.9829,0.7557,9.2015,9.2171,19.0,46.6661,21.729,1.371,,,,,
1.8752,4.4838709677419356e-05,5.16,2400,,,,,,,,,,,,,,
1.8769,4.4623655913978496e-05,5.38,2500,,,,,,,,,,,,,,
1.8673,4.4408602150537635e-05,5.59,2600,,,,,,,,,,,,,,
1.867,4.4193548387096775e-05,5.81,2700,,,,,,,,,,,,,,
,,6.0,2790,1.7807886600494385,10.9793,0.8432,10.159,10.1861,19.0,44.5407,22.766,1.437,,,,,
1.8514,4.3978494623655915e-05,6.02,2800,,,,,,,,,,,,,,
1.8257,4.3763440860215055e-05,6.24,2900,,,,,,,,,,,,,,
1.8398,4.3548387096774194e-05,6.45,3000,,,,,,,,,,,,,,
1.8472,4.3333333333333334e-05,6.67,3100,,,,,,,,,,,,,,
1.8537,4.3118279569892474e-05,6.88,3200,,,,,,,,,,,,,,
,,7.0,3255,1.7601999044418335,10.8821,1.0149,9.9988,9.9917,19.0,45.4739,22.298,1.407,,,,,
1.8187,4.2903225806451614e-05,7.1,3300,,,,,,,,,,,,,,
1.8196,4.268817204301075e-05,7.31,3400,,,,,,,,,,,,,,
1.8181,4.247311827956989e-05,7.53,3500,,,,,,,,,,,,,,
1.7987,4.225806451612904e-05,7.74,3600,,,,,,,,,,,,,,
